Big Mac, main, 540
6pc. Chicken McNuggets, main, 270
3pc. Chicken Tenders, main, 370
Cheeseburger, main, 300
McChicken, main, 350
McDouble, main, 380
Small French Fries, side, 230
Side Salad, side, 20
Parfait, side, 150
McRib, main, 480
