6 piece Chicken Nuggets, main, 270
Grilled Chicken Sandwich, main, 360
Ultimate Chicken Sandwich, main, 390
Chicken Tenders, main, 300
Jr. Bacon Cheeseburger, main, 380
Dave's Single Cheeseburger, main, 580
Small Chilli, side, 210
Small Fries, side, 230
Caesar Side Salad, side, 60
Ghost Pepper Fries, side, 520
