Year,White,Black,Hispanic,Asian
1980 1 595 138 834 061 436 392 281 331 31 431 11 923
1990 1 630 553 662 642 447 144 450 483 64 126 6 158
2000 1 953 631 601 851 495 338 730 865 111 379 14 198
2010 2 099 451 537 901 495 792 919 668 135 131 10 959
